run_id,track,task,condition,run_num,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_input_tokens,effective_input_tokens,num_turns,num_iterations,duration_ms,duration_api_ms,cost_usd,model,stop_reason,result_length,session_id,is_error,tool_calls,total_tool_calls,used_agent,wall_clock_sec,file,level,num_chunks,ordering,chunks_present
async-refactor_caveman_001,A,async-refactor,caveman,1,1122,283,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,868,,False,{},0,False,15.29,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_001.json,,,,
async-refactor_caveman_002,A,async-refactor,caveman,2,1122,292,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,893,,False,{},0,False,10.55,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_002.json,,,,
async-refactor_caveman_003,A,async-refactor,caveman,3,1122,296,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,901,,False,{},0,False,6.43,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_003.json,,,,
async-refactor_caveman_004,A,async-refactor,caveman,4,1122,290,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,869,,False,{},0,False,6.02,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_004.json,,,,
async-refactor_caveman_005,A,async-refactor,caveman,5,1122,331,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1027,,False,{},0,False,6.96,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_005.json,,,,
async-refactor_caveman_006,A,async-refactor,caveman,6,1122,333,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1029,,False,{},0,False,6.47,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_006.json,,,,
async-refactor_caveman_007,A,async-refactor,caveman,7,1122,292,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,893,,False,{},0,False,6.04,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_007.json,,,,
async-refactor_caveman_008,A,async-refactor,caveman,8,1122,325,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,988,,False,{},0,False,6.93,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_008.json,,,,
async-refactor_caveman_009,A,async-refactor,caveman,9,1122,292,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,893,,False,{},0,False,7.44,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_009.json,,,,
async-refactor_caveman_010,A,async-refactor,caveman,10,1122,280,0,0,1122,1122.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,843,,False,{},0,False,7.19,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/async-refactor_caveman_010.json,,,,
auth-middleware-fix_baseline_001,A,auth-middleware-fix,baseline,1,52,1242,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,4105,,False,{},0,False,21.14,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_001.json,,,,
auth-middleware-fix_baseline_002,A,auth-middleware-fix,baseline,2,52,1084,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3584,,False,{},0,False,17.01,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_002.json,,,,
auth-middleware-fix_baseline_003,A,auth-middleware-fix,baseline,3,52,1081,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3436,,False,{},0,False,17.43,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_003.json,,,,
auth-middleware-fix_baseline_004,A,auth-middleware-fix,baseline,4,52,1100,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3521,,False,{},0,False,16.82,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_004.json,,,,
auth-middleware-fix_baseline_005,A,auth-middleware-fix,baseline,5,52,962,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3200,,False,{},0,False,16.22,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_005.json,,,,
auth-middleware-fix_baseline_006,A,auth-middleware-fix,baseline,6,52,1061,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3505,,False,{},0,False,17.9,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_006.json,,,,
auth-middleware-fix_baseline_007,A,auth-middleware-fix,baseline,7,52,1056,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3611,,False,{},0,False,17.74,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_007.json,,,,
auth-middleware-fix_baseline_008,A,auth-middleware-fix,baseline,8,52,1230,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3970,,False,{},0,False,20.89,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_008.json,,,,
auth-middleware-fix_baseline_009,A,auth-middleware-fix,baseline,9,52,1142,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3632,,False,{},0,False,19.13,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_009.json,,,,
auth-middleware-fix_baseline_010,A,auth-middleware-fix,baseline,10,52,907,0,0,52,52.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,2941,,False,{},0,False,14.32,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_baseline_010.json,,,,
auth-middleware-fix_caveman_001,A,auth-middleware-fix,caveman,1,1065,217,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,711,,False,{},0,False,6.08,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_001.json,,,,
auth-middleware-fix_caveman_002,A,auth-middleware-fix,caveman,2,1065,251,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,717,,False,{},0,False,4.77,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_002.json,,,,
auth-middleware-fix_caveman_003,A,auth-middleware-fix,caveman,3,1065,334,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1039,,False,{},0,False,6.04,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_003.json,,,,
auth-middleware-fix_caveman_004,A,auth-middleware-fix,caveman,4,1065,129,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,366,,False,{},0,False,3.84,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_004.json,,,,
auth-middleware-fix_caveman_005,A,auth-middleware-fix,caveman,5,1065,340,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1009,,False,{},0,False,5.71,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_005.json,,,,
auth-middleware-fix_caveman_006,A,auth-middleware-fix,caveman,6,1065,178,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,542,,False,{},0,False,4.18,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_006.json,,,,
auth-middleware-fix_caveman_007,A,auth-middleware-fix,caveman,7,1065,188,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,529,,False,{},0,False,5.15,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_007.json,,,,
auth-middleware-fix_caveman_008,A,auth-middleware-fix,caveman,8,1065,186,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,525,,False,{},0,False,4.33,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_008.json,,,,
auth-middleware-fix_caveman_009,A,auth-middleware-fix,caveman,9,1065,273,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,821,,False,{},0,False,4.72,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_009.json,,,,
auth-middleware-fix_caveman_010,A,auth-middleware-fix,caveman,10,1065,204,0,0,1065,1065.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,605,,False,{},0,False,5.86,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/auth-middleware-fix_caveman_010.json,,,,
docker-multi-stage_baseline_001,A,docker-multi-stage,baseline,1,50,2960,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,9903,,False,{},0,False,43.24,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_001.json,,,,
docker-multi-stage_baseline_002,A,docker-multi-stage,baseline,2,50,2608,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,8923,,False,{},0,False,35.71,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_002.json,,,,
docker-multi-stage_baseline_003,A,docker-multi-stage,baseline,3,50,2476,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,8500,,False,{},0,False,34.02,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_003.json,,,,
docker-multi-stage_baseline_004,A,docker-multi-stage,baseline,4,50,2722,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,9258,,False,{},0,False,66.24,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_004.json,,,,
docker-multi-stage_baseline_005,A,docker-multi-stage,baseline,5,50,2206,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,7552,,False,{},0,False,56.35,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_005.json,,,,
docker-multi-stage_baseline_006,A,docker-multi-stage,baseline,6,50,2277,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,7989,,False,{},0,False,57.52,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_006.json,,,,
docker-multi-stage_baseline_007,A,docker-multi-stage,baseline,7,50,2425,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,8212,,False,{},0,False,55.99,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_007.json,,,,
docker-multi-stage_baseline_008,A,docker-multi-stage,baseline,8,50,2077,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,7319,,False,{},0,False,50.04,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_008.json,,,,
docker-multi-stage_baseline_009,A,docker-multi-stage,baseline,9,50,2207,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,7762,,False,{},0,False,48.69,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_009.json,,,,
docker-multi-stage_baseline_010,A,docker-multi-stage,baseline,10,50,2496,0,0,50,50.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,8727,,False,{},0,False,55.52,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_baseline_010.json,,,,
docker-multi-stage_caveman_001,A,docker-multi-stage,caveman,1,1063,436,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1211,,False,{},0,False,26.66,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_001.json,,,,
docker-multi-stage_caveman_002,A,docker-multi-stage,caveman,2,1063,455,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1279,,False,{},0,False,26.33,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_002.json,,,,
docker-multi-stage_caveman_003,A,docker-multi-stage,caveman,3,1063,455,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1249,,False,{},0,False,8.04,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_003.json,,,,
docker-multi-stage_caveman_004,A,docker-multi-stage,caveman,4,1063,639,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1888,,False,{},0,False,11.73,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_004.json,,,,
docker-multi-stage_caveman_005,A,docker-multi-stage,caveman,5,1063,439,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1228,,False,{},0,False,8.02,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_005.json,,,,
docker-multi-stage_caveman_006,A,docker-multi-stage,caveman,6,1063,534,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1602,,False,{},0,False,19.17,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_006.json,,,,
docker-multi-stage_caveman_007,A,docker-multi-stage,caveman,7,1063,487,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1377,,False,{},0,False,15.75,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_007.json,,,,
docker-multi-stage_caveman_008,A,docker-multi-stage,caveman,8,1063,444,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1247,,False,{},0,False,11.94,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_008.json,,,,
docker-multi-stage_caveman_009,A,docker-multi-stage,caveman,9,1063,457,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1291,,False,{},0,False,13.83,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_009.json,,,,
docker-multi-stage_caveman_010,A,docker-multi-stage,caveman,10,1063,614,0,0,1063,1063.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1884,,False,{},0,False,17.22,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/docker-multi-stage_caveman_010.json,,,,
error-boundary_baseline_001,A,error-boundary,baseline,1,42,3539,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,11055,,False,{},0,False,39.96,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_001.json,,,,
error-boundary_baseline_002,A,error-boundary,baseline,2,42,3474,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,10795,,False,{},0,False,38.47,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_002.json,,,,
error-boundary_baseline_003,A,error-boundary,baseline,3,42,4096,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,max_tokens,12683,,False,{},0,False,42.21,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_003.json,,,,
error-boundary_baseline_004,A,error-boundary,baseline,4,42,3748,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,11748,,False,{},0,False,89.41,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_004.json,,,,
error-boundary_baseline_005,A,error-boundary,baseline,5,42,4095,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,max_tokens,12964,,False,{},0,False,90.82,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_005.json,,,,
error-boundary_baseline_006,A,error-boundary,baseline,6,42,3806,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,11821,,False,{},0,False,83.0,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_006.json,,,,
error-boundary_baseline_007,A,error-boundary,baseline,7,42,3806,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,11821,,False,{},0,False,86.65,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_007.json,,,,
error-boundary_baseline_008,A,error-boundary,baseline,8,42,3651,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,11237,,False,{},0,False,86.94,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_008.json,,,,
error-boundary_baseline_009,A,error-boundary,baseline,9,42,3539,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,11055,,False,{},0,False,84.82,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_009.json,,,,
error-boundary_baseline_010,A,error-boundary,baseline,10,42,4096,0,0,42,42.0,0,0,0,0,0.0,claude-sonnet-4-6,max_tokens,12683,,False,{},0,False,83.96,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_baseline_010.json,,,,
error-boundary_caveman_001,A,error-boundary,caveman,1,1055,1058,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3272,,False,{},0,False,57.67,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_001.json,,,,
error-boundary_caveman_002,A,error-boundary,caveman,2,1055,1058,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3272,,False,{},0,False,57.27,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_002.json,,,,
error-boundary_caveman_003,A,error-boundary,caveman,3,1055,1266,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3870,,False,{},0,False,23.41,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_003.json,,,,
error-boundary_caveman_004,A,error-boundary,caveman,4,1055,1266,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3870,,False,{},0,False,22.9,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_004.json,,,,
error-boundary_caveman_005,A,error-boundary,caveman,5,1055,1364,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,4501,,False,{},0,False,25.61,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_005.json,,,,
error-boundary_caveman_006,A,error-boundary,caveman,6,1055,1039,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3146,,False,{},0,False,28.25,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_006.json,,,,
error-boundary_caveman_007,A,error-boundary,caveman,7,1055,1107,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3524,,False,{},0,False,28.79,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_007.json,,,,
error-boundary_caveman_008,A,error-boundary,caveman,8,1055,1018,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3118,,False,{},0,False,25.09,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_008.json,,,,
error-boundary_caveman_009,A,error-boundary,caveman,9,1055,1018,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3118,,False,{},0,False,22.94,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_009.json,,,,
error-boundary_caveman_010,A,error-boundary,caveman,10,1055,1058,0,0,1055,1055.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3272,,False,{},0,False,23.15,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/error-boundary_caveman_010.json,,,,
git-rebase-merge_baseline_001,A,git-rebase-merge,baseline,1,40,866,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3254,,False,{},0,False,21.83,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_001.json,,,,
git-rebase-merge_baseline_002,A,git-rebase-merge,baseline,2,40,813,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3009,,False,{},0,False,18.86,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_002.json,,,,
git-rebase-merge_baseline_003,A,git-rebase-merge,baseline,3,40,1008,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3758,,False,{},0,False,21.06,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_003.json,,,,
git-rebase-merge_baseline_004,A,git-rebase-merge,baseline,4,40,833,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3082,,False,{},0,False,16.77,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_004.json,,,,
git-rebase-merge_baseline_005,A,git-rebase-merge,baseline,5,40,924,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3525,,False,{},0,False,21.75,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_005.json,,,,
git-rebase-merge_baseline_006,A,git-rebase-merge,baseline,6,40,960,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3384,,False,{},0,False,19.74,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_006.json,,,,
git-rebase-merge_baseline_007,A,git-rebase-merge,baseline,7,40,844,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3122,,False,{},0,False,19.63,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_007.json,,,,
git-rebase-merge_baseline_008,A,git-rebase-merge,baseline,8,40,1029,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3760,,False,{},0,False,21.07,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_008.json,,,,
git-rebase-merge_baseline_009,A,git-rebase-merge,baseline,9,40,931,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3379,,False,{},0,False,20.2,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_009.json,,,,
git-rebase-merge_baseline_010,A,git-rebase-merge,baseline,10,40,998,0,0,40,40.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,3628,,False,{},0,False,23.24,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_baseline_010.json,,,,
git-rebase-merge_caveman_001,A,git-rebase-merge,caveman,1,1053,435,0,0,1053,1053.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1557,,False,{},0,False,13.15,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_caveman_001.json,,,,
git-rebase-merge_caveman_002,A,git-rebase-merge,caveman,2,1053,435,0,0,1053,1053.0,0,0,0,0,0.0,claude-sonnet-4-6,end_turn,1557,,False,{},0,False,10.75,/Users/ytchou/project/portfolio/projects/caveman-audit/outputs/runs/track_a/git-rebase-merge_caveman_002.json,,,,
